Word	Org	Score	Deviation	Std	PoS
東京都	東京都	1	75.37	0	名詞
稲川淳二	稲川淳二	1	75.37	0	名詞
椎名林檎	椎名林檎	1.03	74.68	0.18	名詞
日経新聞	日経新聞	1.03	74.68	0.18	名詞
たこ焼き	たこ焼き	1.07	73.99	0.25	名詞
正露丸	正露丸	1.07	73.99	0.25	名詞
チロルチョコ	チロルチョコ	1.07	73.99	0.25	名詞
スイス	スイス	1.1	73.3	0.3	名詞
自宅	自宅	1.1	73.3	0.3	名詞
甲府	甲府	1.1	73.3	0.3	名詞
桜	桜	1.1	73.3	0.4	名詞
テキーラ	テキーラ	1.1	73.3	0.3	名詞
ペヤング	ペヤング	1.1	73.3	0.3	名詞
きゅうり	きゅうり	1.1	73.3	0.4	名詞
千円	千円	1.1	73.3	0.4	名詞
落花生	落花生	1.13	72.62	0.56	名詞
鳩山由紀夫	鳩山由紀夫	1.13	72.62	0.34	名詞
仙台	仙台	1.13	72.62	0.34	名詞
箱根	箱根	1.13	72.62	0.34	名詞
キツネ	キツネ	1.13	72.62	0.34	名詞
日本テレビ	日本テレビ	1.13	72.62	0.43	名詞
前髪	前髪	1.13	72.62	0.43	名詞
心斎橋	心斎橋	1.13	72.62	0.34	名詞
カントリーマアム	カントリーマアム	1.13	72.62	0.56	名詞
高橋大輔	高橋大輔	1.13	72.62	0.43	名詞
マレーシア	マレーシア	1.13	72.62	0.43	名詞
ハッピーターン	ハッピーターン	1.13	72.62	0.43	名詞
段ボール	段ボール	1.13	72.62	0.34	名詞
映画館	映画館	1.13	72.62	0.43	名詞
木村カエラ	木村カエラ	1.13	72.62	0.72	名詞
ポーランド	ポーランド	1.13	72.62	0.43	名詞
神奈川	神奈川	1.13	72.62	0.34	名詞
オバマ大統領	オバマ大統領	1.13	72.62	0.43	名詞
名古屋	名古屋	1.13	72.62	0.72	名詞
フランス	フランス	1.17	71.93	0.45	名詞
nike	NIKE	1.17	71.93	0.45	名詞
サンケイスポーツ	サンケイスポーツ	1.17	71.93	0.37	名詞
御茶ノ水	御茶ノ水	1.17	71.93	0.58	名詞
トイレ	トイレ	1.17	71.93	0.45	名詞
花粉症	花粉症	1.17	71.93	0.45	名詞
リンゴ	リンゴ	1.17	71.93	0.52	名詞
東京駅	東京駅	1.17	71.93	0.73	名詞
ヤマダ電機	ヤマダ電機	1.17	71.93	0.45	名詞
ヨドバシカメラ	ヨドバシカメラ	1.17	71.93	0.45	名詞
舌	舌	1.17	71.93	0.45	名詞
耳かき	耳かき	1.17	71.93	0.45	名詞
コアラ	コアラ	1.17	71.93	0.58	名詞
消しゴム	消しゴム	1.17	71.93	0.37	名詞
キムチ鍋	キムチ鍋	1.17	71.93	0.45	名詞
カニ	カニ	1.17	71.93	0.45	名詞
ノート	ノート	1.17	71.93	0.37	名詞
オーストリア	オーストリア	1.17	71.93	0.52	名詞
麻雀	麻雀	1.17	71.93	0.45	名詞
ぶどう	ぶどう	1.17	71.93	0.45	名詞
宮崎あおい	宮崎あおい	1.17	71.93	0.58	名詞
10000円	10000円	1.17	71.93	0.58	名詞
もののけ姫	もののけ姫	1.17	71.93	0.52	名詞
中島みゆき	中島みゆき	1.17	71.93	0.45	名詞
猫	猫	1.17	71.93	0.45	名詞
朝日新聞	朝日新聞	1.17	71.93	0.64	名詞
松岡修造	松岡修造	1.17	71.93	0.45	名詞
マヨネーズ	マヨネーズ	1.17	71.93	0.37	名詞
新横浜	新横浜	1.17	71.93	0.45	名詞
大相撲	大相撲	1.17	71.93	0.52	名詞
オーストラリア	オーストラリア	1.17	71.93	0.45	名詞
ヨーグルト	ヨーグルト	1.17	71.93	0.37	名詞
ラー油	ラー油	1.17	71.93	0.45	名詞
うどん	うどん	1.17	71.93	0.37	名詞
中指	中指	1.17	71.93	0.64	名詞
ブロッコリー	ブロッコリー	1.2	71.24	0.54	名詞
辞書	辞書	1.2	71.24	0.4	名詞
さつまいも	さつまいも	1.2	71.24	0.6	名詞
水着	水着	1.2	71.24	0.48	名詞
じゃがりこ	じゃがりこ	1.2	71.24	0.54	名詞
フィリピン	フィリピン	1.2	71.24	0.48	名詞
山手線	山手線	1.2	71.24	0.48	名詞
ベトナム	ベトナム	1.2	71.24	0.6	名詞
味噌汁	味噌汁	1.2	71.24	0.4	名詞
パンケーキ	パンケーキ	1.2	71.24	0.48	名詞
安藤美姫	安藤美姫	1.2	71.24	0.6	名詞
盛岡	盛岡	1.2	71.24	0.48	名詞
七草粥	七草粥	1.2	71.24	0.48	名詞
ジャンケン	ジャンケン	1.2	71.24	0.48	名詞
群馬	群馬	1.2	71.24	0.54	名詞
鯛焼	鯛焼	1.2	71.24	0.48	名詞
カップヌードル	カップヌードル	1.2	71.24	0.48	名詞
クリスマスツリー	クリスマスツリー	1.2	71.24	0.48	名詞
麦茶	麦茶	1.2	71.24	0.4	名詞
すいか	すいか	1.2	71.24	0.54	名詞
秋葉原	秋葉原	1.2	71.24	0.48	名詞
天皇	天皇	1.2	71.24	0.4	名詞
福島	福島	1.2	71.24	0.48	名詞
にんじん	にんじん	1.2	71.24	0.48	名詞
ビール	ビール	1.2	71.24	0.48	名詞
藤田まこと	藤田まこと	1.2	71.24	0.54	名詞
新宿駅	新宿駅	1.2	71.24	0.75	名詞
カーナビ	カーナビ	1.2	71.24	0.48	名詞
スウェーデン	スウェーデン	1.2	71.24	0.48	名詞
ノド	ノド	1.2	71.24	0.48	名詞
サントリー	サントリー	1.2	71.24	0.48	名詞
鳩山首相	鳩山首相	1.2	71.24	0.54	名詞
柿	柿	1.2	71.24	0.54	名詞
google日本語入力	google日本語入力	1.2	71.24	0.6	名詞
エレベーター	エレベーター	1.2	71.24	0.48	名詞
薬指	薬指	1.2	71.24	0.54	名詞
火曜	火曜	1.2	71.24	0.48	名詞
玄関	玄関	1.2	71.24	0.48	名詞
北海道	北海道	1.2	71.24	0.6	名詞
生卵	生卵	1.2	71.24	0.54	名詞
能登	能登	1.2	71.24	0.65	名詞
武蔵野線	武蔵野線	1.2	71.24	0.54	名詞
フジテレビ	フジテレビ	1.2	71.24	0.48	名詞
タモリ	タモリ	1.2	71.24	0.65	名詞
うまい棒	うまい棒	1.2	71.24	0.48	名詞
猿	猿	1.2	71.24	0.48	名詞
地球	地球	1.23	70.55	0.5	名詞
勝間和代	勝間和代	1.23	70.55	0.5	名詞
読売新聞	読売新聞	1.23	70.55	0.67	名詞
父	父	1.23	70.55	0.5	名詞
換気扇	換気扇	1.23	70.55	0.62	名詞
チーズ	チーズ	1.23	70.55	0.56	名詞
大江戸線	大江戸線	1.23	70.55	0.62	名詞
熱海	熱海	1.23	70.55	0.76	名詞
coco壱	coco壱	1.23	70.55	0.5	名詞
目覚まし時計	目覚まし時計	1.23	70.55	0.56	名詞
皮膚科	皮膚科	1.23	70.55	0.5	名詞
イチゴ	イチゴ	1.23	70.55	0.56	名詞
モノレール	モノレール	1.23	70.55	0.56	名詞
焼きそば	焼きそば	1.23	70.55	0.5	名詞
雪見だいふく	雪見だいふく	1.23	70.55	0.67	名詞
ダンボール	ダンボール	1.23	70.55	0.56	名詞
目玉焼き	目玉焼き	1.23	70.55	0.5	名詞
豆腐	豆腐	1.23	70.55	0.5	名詞
寿司屋	寿司屋	1.23	70.55	0.56	名詞
みなとみらい	みなとみらい	1.23	70.55	0.56	名詞
アーモンド	アーモンド	1.23	70.55	0.5	名詞
パンダ	パンダ	1.23	70.55	0.76	名詞
麻婆豆腐	麻婆豆腐	1.23	70.55	0.62	名詞
ハサミ	ハサミ	1.23	70.55	0.56	名詞
鼻	鼻	1.23	70.55	0.56	名詞
ディズニーランド	ディズニーランド	1.23	70.55	0.5	名詞
北斗の拳	北斗の拳	1.23	70.55	0.8	名詞
羽田空港	羽田空港	1.23	70.55	0.56	名詞
坂本龍馬	坂本龍馬	1.23	70.55	0.76	名詞
アボカド	アボカド	1.23	70.55	0.56	名詞
nhk	NHK	1.23	70.55	0.56	名詞
わかめ	わかめ	1.23	70.55	0.62	名詞
カーリング	カーリング	1.23	70.55	0.5	名詞
カリフォルニア	カリフォルニア	1.23	70.55	0.5	名詞
蓮舫	蓮舫	1.23	70.55	0.56	名詞
アップルパイ	アップルパイ	1.23	70.55	0.56	名詞
静岡	静岡	1.23	70.55	0.56	名詞
ショパン	ショパン	1.23	70.55	0.56	名詞
火星	火星	1.23	70.55	0.62	名詞
朝刊	朝刊	1.23	70.55	0.42	名詞
お好み焼き	お好み焼き	1.23	70.55	0.56	名詞
ローマ	ローマ	1.23	70.55	0.67	名詞
吉野家	吉野家	1.23	70.55	0.42	名詞
ハンバーグ	ハンバーグ	1.23	70.55	0.42	名詞
浅草	浅草	1.23	70.55	0.5	名詞
マンゴー	マンゴー	1.23	70.55	0.5	名詞
しいたけ	しいたけ	1.23	70.55	0.5	名詞
デンマーク	デンマーク	1.23	70.55	0.56	名詞
歯ブラシ	歯ブラシ	1.23	70.55	0.56	名詞
上村愛子	上村愛子	1.23	70.55	0.56	名詞
みりん	みりん	1.23	70.55	0.62	名詞
税務署	税務署	1.23	70.55	0.5	名詞
キン肉マン	キン肉マン	1.23	70.55	0.76	名詞
千葉県	千葉県	1.23	70.55	0.5	名詞
生姜	生姜	1.23	70.55	0.62	名詞
